Politician,Issuer,PublishedDate,TradedDate,DaysAfter,Owner,Type,SizeRange,Price
Ro KhannaDemocratHouseCA,Motorola Solutions IncMSI:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$315.04
Ro KhannaDemocratHouseCA,Costco Wholesale CorpCOST:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$672.76
Ro KhannaDemocratHouseCA,PayPal Holdings IncPYPL:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$60.96
Ro KhannaDemocratHouseCA,Fiserv IncFI:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$135.40
Ro KhannaDemocratHouseCA,United Parcel Service IncUPS:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$161.22
Ro KhannaDemocratHouseCA,Lam Research CorpLRCX:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$749.69
Ro KhannaDemocratHouseCA,MSCI IncMSCI:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$546.66
Ro KhannaDemocratHouseCA,Arista Networks IncANET:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$249.23
Ro KhannaDemocratHouseCA,Airbnb IncABNB:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$139.76
Ro KhannaDemocratHouseCA,AMETEK IncAME:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$163.68
Ro KhannaDemocratHouseCA,Quanta Services IncPWR:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$203.64
Ro KhannaDemocratHouseCA,TE Connectivity LtdTEL:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$133.17
Ro KhannaDemocratHouseCA,Cintas CorpCTAS:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$587.02
Ro KhannaDemocratHouseCA,KLA CorpKLAC:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$556.09
Ro KhannaDemocratHouseCA,Equifax IncEFX:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$244.83
Ro KhannaDemocratHouseCA,Lululemon Athletica IncLULU:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$484.10
Ro KhannaDemocratHouseCA,AUTODESK IncADSK:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$238.82
Ro KhannaDemocratHouseCA,D.R. Horton IncDHI:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$154.52
Ro KhannaDemocratHouseCA,Palo Alto Networks IncPANW:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$316.09
Ro KhannaDemocratHouseCA,Moderna IncMRNA:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$109.46
Ro KhannaDemocratHouseCA,Otis Worldwide CorpOTIS:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$87.00
Ro KhannaDemocratHouseCA,Royal Caribbean GroupRCL:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$123.60
Ro KhannaDemocratHouseCA,T. Rowe Price Group IncTROW:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$107.39
Ro KhannaDemocratHouseCA,Copart IncCPRT:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$47.93
Ro KhannaDemocratHouseCA,NXP Semiconductors NVNXPI:US,7 Feb2024,10 Jan2024,days26,Spouse,buy,1K–15K,$211.29
